Date,AdjClosePrice,EMA12,EMA26,MACD,Signal,isBuy,isSell
3/29/10,280.945,0,0,0,0,0,0
3/30/10,283.072,0,0,0,0,0,0
3/31/10,283.277,0,0,0,0,0,0
4/1/10,284.116,0,0,0,0,0,0
4/5/10,285.22,0,0,0,0,0,0
4/6/10,283.827,0,0,0,0,0,0
4/7/10,281.489,0,0,0,0,0,0
4/8/10,283.462,0,0,0,0,0,0
4/9/10,282.828,0,0,0,0,0,0
4/12/10,286.079,0,0,0,0,0,0
4/13/10,293.092,0,0,0,0,0,0
4/14/10,294.206,285.135,0,0,0,0,0
4/15/10,297.353,287.014,0,0,0,0,0
4/16/10,274.801,285.135,0,0,0,0,0
4/19/10,274.776,283.542,0,0,0,0,0
4/20/10,277.243,282.573,0,0,0,0,0
4/21/10,276.874,281.696,0,0,0,0,0
4/22/10,273.257,280.398,0,0,0,0,0
4/23/10,272.223,279.14,0,0,0,0,0
4/26/10,265.555,277.05,0,0,0,0,0
4/27/10,264.266,275.083,0,0,0,0,0
4/28/10,264.331,273.429,0,0,0,0,0
4/29/10,265.735,272.245,0,0,0,0,0
4/30/10,262.588,270.76,0,0,0,0,0
5/3/10,265.035,269.879,0,0,0,0,0
5/4/10,252.933,267.272,277.253,-9.98146,0,0,0
5/5/10,254.626,265.326,275.577,-10.2509,0,0,0
5/6/10,249.086,262.828,273.615,-10.787,0,0,0
5/7/10,246.324,260.289,271.593,-11.3045,0,0,0
5/10/10,260.565,260.331,270.776,-10.4451,0,0,0
5/11/10,254.271,259.399,269.554,-10.1549,0,0,0
5/12/10,252.443,258.329,268.286,-9.95753,0,0,0
5/13/10,255.185,257.845,267.316,-9.4707,0,0,0
5/14/10,253.512,257.179,266.293,-9.11484,-10.163,0,0
5/17/10,253.732,256.648,265.363,-8.71462,-9.87332,0,0
5/18/10,248.936,255.462,264.146,-8.68428,-9.63551,0,0
5/19/10,246.968,254.155,262.874,-8.71853,-9.45212,0,0
5/20/10,237.268,251.557,260.977,-9.41982,-9.44566,0,0
